Date,Close,Open,High,Low,Vol.,Change %
"Mar 20, 2022",3.086,3.2311,3.2377,3.0509,22.16M,-4.46%
"Mar 19, 2022",3.2299,3.2064,3.2976,3.1277,37.21M,0.73%
"Mar 18, 2022",3.2064,3.2021,3.2362,3.019,113.29M,0.13%
"Mar 17, 2022",3.2021,3.2577,3.3495,3.1411,176.93M,-1.70%
"Mar 16, 2022",3.2575,2.7333,3.2575,2.6906,227.70M,19.18%
"Mar 15, 2022",2.7333,2.75,2.7695,2.6716,49.02M,-0.61%
"Mar 14, 2022",2.75,2.7136,2.7785,2.6701,61.38M,1.18%
"Mar 13, 2022",2.718,2.7797,2.9385,2.6914,78.75M,-2.19%
"Mar 12, 2022",2.7789,2.7752,2.827,2.7708,35.83M,0.13%
"Mar 11, 2022",2.7752,2.827,2.8634,2.749,62.40M,-1.83%
"Mar 10, 2022",2.827,2.9622,2.9845,2.7621,71.08M,-4.53%
"Mar 09, 2022",2.9612,2.8268,3.0137,2.8182,86.81M,4.75%
"Mar 08, 2022",2.8269,2.7757,2.8948,2.7569,82.04M,1.84%
"Mar 07, 2022",2.7759,2.8419,2.9388,2.7077,104.50M,-2.32%
"Mar 06, 2022",2.8419,3.0075,3.0562,2.8334,73.91M,-5.55%
"Mar 05, 2022",3.0089,2.916,3.0431,2.8562,75.79M,3.19%
"Mar 04, 2022",2.916,3.1431,3.1525,2.8604,128.54M,-7.23%
"Mar 03, 2022",3.1433,3.2785,3.2962,3.0544,59.37M,-4.14%
"Mar 02, 2022",3.2791,3.3656,3.4281,3.2282,66.66M,-2.57%
"Mar 01, 2022",3.3656,3.2114,3.3832,3.1002,80.46M,4.80%
"Feb 28, 2022",3.2115,2.8997,3.2191,2.8302,63.72M,10.77%
"Feb 27, 2022",2.8991,3.0969,3.1385,2.8544,59.64M,-6.35%
"Feb 26, 2022",3.0957,3.1681,3.2697,3.0548,46.52M,-2.23%
"Feb 25, 2022",3.1663,3.0264,3.2018,2.9069,70.47M,4.41%
"Feb 24, 2022",3.0324,2.99,3.1055,2.6326,109.42M,1.60%
"Feb 23, 2022",2.9847,3.178,3.2935,2.982,63.52M,-6.08%
"Feb 22, 2022",3.178,2.899,3.1864,2.8218,67.47M,9.62%
"Feb 21, 2022",2.8991,3.197,3.4142,2.8821,81.04M,-9.09%
"Feb 20, 2022",3.1888,3.501,3.502,3.1535,47.71M,-8.92%
"Feb 19, 2022",3.501,3.6047,3.6505,3.4076,34.46M,-2.88%
"Feb 18, 2022",3.6046,3.7367,3.8377,3.5603,44.91M,-3.53%
"Feb 17, 2022",3.7367,4.1731,4.2446,3.7048,51.27M,-10.46%
"Feb 16, 2022",4.1732,4.4141,4.4536,4.0599,47.04M,-5.46%
"Feb 15, 2022",4.4141,4.0183,4.4141,3.992,48.38M,9.85%
"Feb 14, 2022",4.0184,4.0614,4.0918,3.8726,41.15M,-1.05%
"Feb 13, 2022",4.0611,4.2116,4.3249,3.9682,27.68M,-3.57%
"Feb 12, 2022",4.2116,4.1994,4.388,4.1052,42.68M,0.29%
"Feb 11, 2022",4.1994,4.3954,4.5424,4.0547,40.56M,-4.54%
"Feb 10, 2022",4.399,4.7137,4.7592,4.3685,53.70M,-6.68%
"Feb 09, 2022",4.7137,4.7988,4.8614,4.5295,45.73M,-1.77%
"Feb 08, 2022",4.7988,4.6703,4.8203,4.3124,69.68M,2.75%
"Feb 07, 2022",4.6704,4.6399,4.8527,4.5402,56.37M,0.66%
"Feb 06, 2022",4.6399,4.3424,4.6828,4.3398,62.47M,6.85%
"Feb 05, 2022",4.3425,4.0039,4.4985,3.9676,79.33M,8.46%
"Feb 04, 2022",4.0039,3.6877,4.0157,3.6264,51.28M,9.20%
"Feb 03, 2022",3.6667,3.6639,3.6994,3.5016,48.09M,0.08%
"Feb 02, 2022",3.6639,3.9747,4.0148,3.6476,46.36M,-7.81%
"Feb 01, 2022",3.9745,4.0944,4.1103,3.8775,48.66M,-2.89%
"Jan 31, 2022",4.0926,3.8628,4.1629,3.6401,79.19M,5.95%
"Jan 30, 2022",3.8628,3.8833,4.0741,3.687,69.83M,-0.53%
"Jan 29, 2022",3.8833,3.4803,3.908,3.4641,66.57M,11.45%
"Jan 28, 2022",3.4842,3.3912,3.5614,3.2564,73.33M,2.74%
"Jan 27, 2022",3.3912,3.073,3.5407,2.9645,98.69M,10.36%
"Jan 26, 2022",3.0728,3.0428,3.417,2.9667,82.00M,1.08%
"Jan 25, 2022",3.04,3.0002,3.0995,2.875,50.85M,1.33%
"Jan 24, 2022",3.0002,3.1257,3.1257,2.6264,81.48M,-4.02%
"Jan 23, 2022",3.1259,3.0024,3.2435,2.924,66.94M,4.11%
"Jan 22, 2022",3.0024,3.3474,3.3992,2.5621,137.45M,-10.32%
"Jan 21, 2022",3.3477,3.9476,4.0072,3.2065,92.25M,-15.20%
"Jan 20, 2022",3.9479,4.2181,4.4549,3.9108,42.54M,-6.51%
"Jan 19, 2022",4.223,4.4674,4.4791,4.1212,34.19M,-5.47%
"Jan 18, 2022",4.4674,4.6083,4.6406,4.3652,36.37M,-3.06%
"Jan 17, 2022",4.6085,4.9115,4.9561,4.5174,35.12M,-6.17%
"Jan 16, 2022",4.9115,4.8421,5.0603,4.7435,36.15M,1.43%
"Jan 15, 2022",4.8423,4.9048,4.9185,4.7838,25.14M,-1.27%
"Jan 14, 2022",4.9048,4.8586,4.9679,4.6776,42.74M,0.95%
"Jan 13, 2022",4.8586,5.1365,5.2102,4.8058,50.76M,-5.31%
"Jan 12, 2022",5.1308,4.7135,5.2078,4.7121,52.09M,8.86%
"Jan 11, 2022",4.7131,4.4538,4.7622,4.3582,47.76M,5.75%
"Jan 10, 2022",4.4567,4.7147,4.7677,4.2252,59.69M,-5.47%
"Jan 09, 2022",4.7145,4.6156,4.9068,4.5677,38.48M,2.14%
"Jan 08, 2022",4.6156,4.847,5.0296,4.4715,43.34M,-4.77%
"Jan 07, 2022",4.8465,5.2358,5.2662,4.7487,74.24M,-7.44%
"Jan 06, 2022",5.2358,5.0028,5.3918,4.7126,82.14M,4.67%
